試合ID,ラリー番号,ショット順,打った選手,打点,着地,ショット,結果,レシーバー
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,6.0,吉田陸,LR,RR,クリア,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,7.0,吉田陸,LM,CR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,8.0,吉田陸,LM,RM,スマッシュ,得点,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,9.0,吉田陸,LM,RM,ショートリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,10.0,吉田陸,LM,LM,ショートリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,11.0,吉田陸,LF,RF,ヘアピン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,12.0,吉田陸,LR,RF,ショートリターン,ミス,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,13.0,吉田陸,RM,RM,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,14.0,吉田陸,LF,RR,ロブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,15.0,吉田陸,LM,LR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,16.0,吉田陸,LM,RM,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,17.0,吉田陸,LF,RR,ロブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,18.0,吉田陸,LM,LR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,19.0,吉田陸,LM,CM,ドライブ,ミス,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,20.0,吉田陸,RR,LM,スマッシュ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,21.0,吉田陸,LM,RM,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,22.0,吉田陸,LM,RM,ドライブ,得点,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,23.0,吉田陸,LM,RM,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,24.0,吉田陸,LM,CF,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,25.0,吉田陸,RF,LM,ロングリターン,ミス,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,26.0,吉田陸,CF,RF,ショートリターン,ミス,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,27.0,吉田陸,RF,RM,ドライブ,得点,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,28.0,吉田陸,RM,LR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,29.0,吉田陸,RM,CM,スマッシュ,得点,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,30.0,吉田陸,LM,RR,クリア,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,31.0,吉田陸,LM,CM,ショートリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,32.0,吉田陸,RF,RR,プッシュ,得点,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,33.0,吉田陸,RM,LR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,34.0,吉田陸,RM,LR,ロングリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,35.0,吉田陸,CF,CR,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,36.0,吉田陸,RM,LR,ロブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,37.0,吉田陸,RR,CF,ドロップ,続行,
